Episode,Score,Total_Reward,Pieces_Placed,Epsilon
0,0,-312.6,22,0.998
0,0,-351.6,21,0.996
0,0,-499.3,25,0.998
1,0,-402.8,27,0.996
2,0,-432.6,26,0.994
3,0,-313.8,23,0.992
4,0,-590.4,19,0.99
5,0,-405.0,21,0.988
6,0,-211.1,20,0.986
7,0,-343.6,22,0.984
8,0,-439.6,26,0.982
9,0,-408.3,26,0.98
10,0,-437.3,23,0.978
11,0,-231.7,24,0.976
12,0,-299.5,15,0.974
13,0,-439.8,25,0.972
14,0,-460.1,22,0.97
15,0,-435.9,25,0.968
16,0,-440.4,31,0.967
17,0,-272.5,22,0.965
18,0,-369.7,22,0.963
19,0,-176.6,19,0.961
20,0,-196.0,18,0.959
21,0,-425.7,21,0.957
22,0,-318.0,21,0.955
23,0,-305.4,20,0.953
24,0,-327.2,27,0.951
25,0,-336.8,18,0.949
26,0,-232.8,20,0.947
27,0,-333.0,22,0.945
28,0,-250.8,19,0.944
29,0,-444.0,26,0.942
30,0,-494.0,23,0.94
31,0,-302.7,19,0.938
32,0,-422.4,28,0.936
33,0,-656.5,26,0.934
34,0,-297.7,25,0.932
35,0,-434.8,26,0.93
36,0,-517.8,29,0.929
37,0,-433.2,24,0.927
38,0,-239.0,23,0.925
39,0,-250.3,19,0.923
40,0,-384.7,21,0.921
41,0,-751.4,33,0.919
42,0,-554.7,24,0.918
43,0,-195.6,13,0.916
44,0,-299.7,25,0.914
45,0,-466.2,27,0.912
46,0,-194.4,20,0.91
47,0,-451.9,27,0.908
48,0,-272.1,22,0.907
49,0,-371.3,25,0.905
50,0,-205.9,22,0.903
51,0,-366.0,27,0.901
52,0,-467.3,28,0.899
53,0,-425.4,28,0.898
54,0,-553.1,27,0.896
55,0,-206.3,22,0.894
56,0,-209.8,17,0.892
57,0,-412.7,27,0.89
58,0,-587.2,28,0.889
59,0,-281.4,23,0.887
60,0,-283.8,21,0.885
61,0,-379.1,25,0.883
62,0,-570.3,30,0.882
63,0,-374.7,26,0.88
64,0,-432.4,27,0.878
65,0,-194.0,23,0.876
66,0,-378.7,27,0.874
67,0,-412.9,23,0.873
68,0,-459.7,30,0.871
69,0,-92.4,16,0.869
70,0,-257.4,23,0.867
71,0,-701.7,25,0.866
72,0,-146.6,18,0.864
73,0,-445.9,25,0.862
74,0,-305.2,21,0.861
75,0,-458.4,33,0.859
76,0,-336.9,18,0.857
77,0,-434.4,26,0.855
78,0,-533.9,33,0.854
79,0,-520.5,27,0.852
80,0,-218.4,20,0.85
81,0,-443.9,23,0.849
82,100,-603.0,32,0.847
83,100,-430.1,32,0.845
84,0,-397.2,22,0.844
85,0,-416.8,29,0.842
86,0,-351.5,23,0.84
87,0,-495.2,31,0.838
88,0,-185.4,12,0.837
89,0,-274.3,23,0.835
90,0,-390.2,18,0.833
91,0,-314.2,27,0.832
92,0,-456.0,25,0.83
93,0,-233.8,24,0.828
94,0,-260.5,20,0.827
95,0,-541.2,31,0.825
96,0,-353.1,24,0.823
97,0,-340.0,21,0.822
98,0,-444.1,26,0.82
99,0,-294.1,21,0.819
100,0,-180.0,16,0.817
101,0,-435.3,33,0.815
102,0,-347.3,28,0.814
103,0,-222.8,21,0.812
104,200,-471.8,38,0.81
105,0,-517.9,26,0.809
106,0,-344.6,30,0.807
107,0,-190.2,24,0.806
108,0,-277.2,30,0.804
109,0,-564.7,33,0.802
110,0,-471.3,30,0.801
111,0,-344.5,29,0.799
112,0,-465.3,26,0.798
113,0,-582.7,23,0.796
114,0,-530.4,32,0.794
115,0,-397.2,19,0.793
116,0,-300.8,27,0.791
117,0,-388.9,32,0.79
118,0,-437.8,26,0.788
119,0,-274.7,23,0.786
120,0,-556.0,28,0.785
121,0,-410.3,33,0.783
122,0,-574.5,28,0.782
123,0,-379.4,29,0.78
124,0,-396.6,30,0.779
125,0,-194.1,24,0.777
126,0,-611.7,27,0.775
127,0,-207.0,19,0.774
128,0,-191.8,15,0.772
129,0,-126.3,16,0.771
130,0,-347.8,22,0.769
131,0,-271.7,21,0.768
132,0,-567.8,30,0.766
133,0,-143.0,22,0.765
134,0,-285.7,20,0.763
135,0,-341.4,23,0.762
136,0,-106.1,14,0.76
137,0,-568.5,28,0.759
138,0,-292.1,21,0.757
139,0,-573.0,29,0.756
140,0,-401.9,27,0.754
141,0,-483.6,32,0.753
142,0,-278.2,22,0.751
143,0,-181.4,21,0.75
144,0,-378.3,25,0.748
145,100,-355.2,31,0.747
146,0,-303.3,22,0.745
147,0,-492.0,35,0.744
148,0,-247.0,28,0.742
149,0,-440.6,28,0.741
150,0,-283.5,22,0.739
151,0,-280.6,29,0.738
152,0,-434.7,27,0.736
153,0,-200.7,25,0.735
154,0,-866.3,29,0.733
155,0,-278.0,27,0.732
156,0,-307.9,27,0.73
157,0,-101.7,19,0.729
158,0,-391.5,20,0.727
159,0,-526.6,29,0.726
160,0,-220.3,23,0.724
161,0,-406.2,32,0.723
162,0,-436.0,26,0.722
163,0,-393.5,27,0.72
164,0,-338.2,26,0.719
165,200,-403.5,43,0.717
166,0,-366.2,28,0.716
167,0,-248.1,25,0.714
168,0,-280.7,32,0.713
169,0,-489.7,29,0.712
170,0,-240.6,25,0.71
171,0,-381.9,31,0.709
172,0,-259.3,22,0.707
173,0,-175.4,23,0.706
174,0,-170.5,25,0.704
175,100,-490.8,31,0.703
176,0,-512.5,33,0.702
177,0,-325.1,30,0.7
178,0,-551.7,25,0.699
179,0,-158.4,34,0.697
180,0,-338.8,28,0.696
181,0,-315.1,29,0.695
182,0,-367.1,26,0.693
183,100,-297.2,35,0.692
184,100,-289.1,32,0.69
185,0,-452.1,25,0.689
186,200,-605.1,49,0.688
187,0,-363.5,29,0.686
188,0,-568.1,34,0.685
189,100,-243.5,31,0.684
190,0,-322.4,22,0.682
191,0,-785.5,27,0.681
192,0,-367.6,25,0.68
193,0,-686.5,30,0.678
194,0,-302.5,30,0.677
195,0,-566.1,33,0.675
196,0,-500.2,28,0.674
197,0,-355.1,28,0.673
198,100,-521.0,36,0.671
199,0,-567.5,33,0.67
200,0,-265.4,22,0.669
201,0,-337.4,30,0.667
202,0,-389.3,32,0.666
203,0,-566.7,29,0.665
204,0,-278.7,28,0.663
205,0,-575.8,34,0.662
206,0,-493.2,32,0.661
207,0,-386.5,31,0.659
208,0,-574.4,32,0.658
209,0,-582.9,34,0.657
210,0,-327.8,27,0.655
211,0,-326.5,25,0.654
212,0,-353.6,31,0.653
213,100,-331.4,32,0.652
214,0,-571.3,31,0.65
215,0,-488.2,27,0.649
216,100,-320.1,42,0.648
217,0,-233.2,22,0.646
218,0,-334.8,28,0.645
219,0,-543.6,28,0.644
220,0,-189.6,30,0.642
221,0,-440.9,38,0.641
222,200,-184.4,29,0.64
223,0,-343.2,37,0.639
224,0,-166.1,24,0.637
225,0,-440.7,26,0.636
226,0,-433.1,24,0.635
227,0,-208.9,26,0.634
228,300,-188.4,36,0.632
229,0,-376.5,27,0.631
230,0,-364.5,28,0.63
231,0,-297.2,33,0.628
232,0,-194.7,20,0.627
233,0,-454.5,35,0.626
234,0,-295.7,21,0.625
235,0,-406.8,31,0.623
236,0,-217.9,36,0.622
237,100,-449.0,35,0.621
238,0,-308.1,21,0.62
239,0,-248.6,24,0.618
240,0,-440.6,29,0.617
241,100,-338.9,30,0.616
242,0,-451.8,33,0.615
243,0,-125.1,22,0.614
244,0,-407.4,34,0.612
245,0,-223.8,23,0.611
246,0,-233.0,32,0.61
247,200,-313.4,41,0.609
248,0,-239.4,24,0.607
249,0,-258.8,14,0.606
250,0,-379.1,32,0.605
251,200,-665.2,41,0.604
252,100,-308.9,41,0.603
253,0,-312.4,41,0.601
254,0,-303.4,33,0.6
255,0,-385.2,38,0.599
256,200,-305.7,37,0.598
257,0,-246.3,18,0.597
258,0,-428.7,36,0.595
259,0,-522.9,35,0.594
260,0,-223.9,28,0.593
261,0,-318.8,33,0.592
262,0,-355.8,30,0.591
263,0,-191.0,28,0.589
264,0,-478.4,38,0.588
265,0,-209.4,26,0.587
266,100,-370.2,38,0.586
267,0,-260.3,23,0.585
268,300,-527.0,42,0.584
269,0,-324.6,26,0.582
270,0,-318.1,27,0.581
271,100,-324.2,28,0.58
272,100,-458.7,39,0.579
273,0,-146.9,14,0.578
274,0,-288.0,28,0.577
275,0,-431.3,32,0.575
276,200,-447.8,41,0.574
277,0,-525.5,29,0.573
278,100,-537.3,36,0.572
279,200,-313.2,43,0.571
280,0,-387.2,32,0.57
281,100,-407.0,42,0.569
282,0,-146.0,16,0.567
283,200,-423.4,38,0.566
284,100,-367.9,38,0.565
285,0,-320.2,25,0.564
286,0,-522.3,26,0.563
287,0,-277.9,24,0.562
288,100,-317.6,36,0.561
289,0,-625.7,32,0.56
290,0,-99.2,17,0.558
291,100,-455.2,37,0.557
292,100,-324.4,29,0.556
293,100,-377.6,38,0.555
294,0,-168.1,31,0.554
295,0,-227.3,29,0.553
296,100,-298.3,37,0.552
297,0,-351.0,26,0.551
298,0,-362.8,25,0.55
299,400,-282.0,44,0.548
300,0,-389.4,21,0.547
301,0,-221.9,26,0.546
302,200,-196.1,36,0.545
303,0,-425.6,35,0.544
304,0,-267.9,38,0.543
305,0,-211.5,26,0.542
306,0,-547.7,28,0.541
307,100,-363.1,33,0.54
308,0,-676.9,34,0.539
309,200,-675.2,47,0.538
310,0,-407.4,34,0.537
311,0,-300.2,28,0.535
312,0,-256.8,28,0.534
313,100,-528.1,38,0.533
314,100,-370.4,37,0.532
315,0,-424.2,28,0.531
316,0,-352.4,33,0.53
317,0,-290.9,40,0.529
318,100,-233.4,36,0.528
319,0,-459.5,32,0.527
320,0,-312.2,32,0.526
321,0,-612.7,38,0.525
322,100,-676.4,42,0.524
323,0,-414.5,28,0.523
324,0,-253.7,21,0.522
325,300,-312.7,45,0.521
326,0,-299.4,29,0.52
327,0,-247.4,33,0.519
328,0,-538.2,42,0.518
329,0,-138.3,24,0.517
330,0,-298.4,20,0.515
331,0,-332.5,34,0.514
332,300,-243.8,46,0.513
333,0,-280.2,27,0.512
334,0,-559.3,33,0.511
335,0,-278.2,38,0.51
336,0,-344.1,30,0.509
337,0,-642.5,37,0.508
338,0,-184.8,34,0.507
339,0,-374.3,25,0.506
340,0,-419.9,38,0.505
341,0,-282.0,32,0.504
342,300,-290.8,42,0.503
343,100,-454.8,49,0.502
344,200,-162.7,30,0.501
345,100,-357.1,35,0.5
346,0,-462.0,38,0.499
347,300,-480.8,50,0.498
348,200,-321.9,48,0.497
349,0,-194.1,29,0.496
350,0,-251.3,36,0.495
351,300,-123.5,30,0.494
352,0,-190.3,30,0.493
353,200,-154.6,31,0.492
354,100,-538.8,37,0.491
355,0,-528.7,35,0.49
356,0,-438.4,32,0.489
357,0,-258.7,35,0.488
358,200,-273.0,50,0.487
359,0,-193.8,23,0.486
360,0,-456.3,41,0.485
361,100,-221.7,35,0.484
362,0,-250.9,33,0.483
363,100,-449.2,45,0.483
364,0,-190.9,31,0.482
365,0,-316.8,32,0.481
366,500,-320.3,52,0.48
367,0,-437.9,36,0.479
368,0,-392.6,30,0.478
369,100,-231.5,31,0.477
370,0,-436.5,33,0.476
371,0,-616.5,41,0.475
372,200,-451.2,41,0.474
373,200,-144.0,28,0.473
374,0,-646.2,26,0.472
375,100,-178.0,38,0.471
376,0,-251.8,27,0.47
377,0,-304.7,39,0.469
378,0,-322.0,32,0.468
379,0,-375.6,40,0.467
380,0,-442.8,35,0.466
381,0,-491.0,30,0.465
382,0,-486.4,39,0.465
383,0,-347.9,31,0.464
384,0,-333.0,33,0.463
385,100,-206.6,41,0.462
386,0,-205.8,28,0.461
387,0,-306.1,33,0.46
388,0,-316.9,35,0.459
389,0,-217.0,33,0.458
390,0,-292.3,32,0.457
391,200,-343.9,48,0.456
392,100,-362.9,38,0.455
393,100,-340.7,42,0.454
394,400,-325.1,54,0.453
395,200,-221.8,38,0.453
396,200,-413.1,51,0.452
397,0,-324.9,33,0.451
398,200,-544.1,46,0.45
399,200,-350.0,38,0.449
400,300,-531.2,54,0.448
401,0,-257.9,31,0.447
402,100,-159.1,41,0.446
403,100,-702.6,40,0.445
404,200,-293.1,49,0.444
405,0,-397.5,35,0.444
406,0,-365.1,34,0.443
407,400,-679.9,53,0.442
408,0,-322.9,32,0.441
409,0,-204.7,34,0.44
410,100,-376.1,46,0.439
411,300,-321.3,50,0.438
412,100,-406.7,45,0.437
413,0,-424.5,38,0.437
414,0,-308.4,31,0.436
415,100,-270.6,34,0.435
416,300,-235.0,47,0.434
417,0,-291.4,29,0.433
418,200,-397.7,40,0.432
419,100,-144.4,18,0.431
420,400,-143.2,43,0.43
421,0,-387.1,41,0.43
422,0,-206.8,33,0.429
423,0,-484.6,41,0.428
424,100,-394.4,48,0.427
425,200,-349.5,37,0.426
426,0,-224.2,32,0.425
427,700,-192.0,59,0.424
428,0,-194.3,34,0.424
429,100,-516.4,41,0.423
430,200,-122.6,33,0.422
431,100,-151.9,29,0.421
432,200,-227.9,37,0.42
433,0,-231.6,45,0.419
434,0,-255.1,28,0.419
435,100,-377.9,35,0.418
436,0,-141.8,28,0.417
437,300,-114.4,35,0.416
438,0,-182.7,20,0.415
439,0,-493.2,33,0.414
440,200,-564.5,49,0.414
441,100,-300.0,39,0.413
442,0,-240.4,36,0.412
443,0,-484.6,45,0.411
444,0,-189.0,33,0.41
445,0,-192.6,29,0.409
446,100,-202.7,38,0.409
447,0,-368.5,40,0.408
448,0,-396.8,33,0.407
449,0,-401.0,46,0.406
450,100,-153.3,31,0.405
451,600,-267.0,56,0.405
452,0,-168.8,31,0.404
453,100,-199.0,35,0.403
454,100,-412.3,41,0.402
455,100,-326.8,38,0.401
456,0,-104.4,22,0.401
457,200,-269.8,38,0.4
458,200,-252.7,37,0.399
459,0,-409.5,40,0.398
460,600,-333.1,64,0.397
